representation,length,encode_seconds,encode_peak_mib,image_values,feature_seconds,feature_peak_mib,n_features
gaf,128.0,0.0005515999800991267,0.25357818603515625,16384.0,0.08048219999182038,7.05543327331543,662.0
gaf,256.0,0.0015546999929938465,1.0045700073242188,65536.0,0.2060258999990765,28.160313606262207,662.0
gaf,512.0,0.005626600002869964,4.008476257324219,262144.0,0.8449070999922697,112.55885791778564,662.0
gaf,1024.0,0.019623000000137836,16.01628875732422,1048576.0,2.4665799000067636,450.1057062149048,662.0
gaf,4096.0,0.16483580000931397,256.0631637573242,16777216.0,35.15467560000252,7200.3869552612305,662.0
gadf,128.0,0.00036639999598264694,0.25357818603515625,16384.0,0.057167000020854175,7.054888725280762,662.0
gadf,256.0,0.0005816000048071146,1.0045700073242188,65536.0,0.20488659999682568,28.160313606262207,662.0
gadf,512.0,0.004245499992975965,4.008476257324219,262144.0,1.0310485000081826,112.55885791778564,662.0
gadf,1024.0,0.023480900010326877,16.01628875732422,1048576.0,2.117835400014883,450.1056594848633,662.0
gadf,4096.0,0.11166600001160987,256.0631637573242,16777216.0,29.88729530002456,7200.386909484863,662.0
mtf,128.0,0.00044049997813999653,0.2553291320800781,16384.0,0.02616509998915717,7.054844856262207,662.0
mtf,256.0,0.0006029000214766711,0.6313056945800781,65536.0,0.1153047000116203,28.16035747528076,662.0
mtf,512.0,0.0020798000041395426,2.133289337158203,262144.0,0.4758478000003379,112.55885791778564,662.0
mtf,1024.0,0.004512799991061911,8.137195587158203,1048576.0,2.0613212999887764,450.10579204559326,662.0
mtf,4096.0,0.0694284999917727,128.0356330871582,16777216.0,28.312957799993455,7200.386998176575,662.0
rp,128.0,5.180001608096063e-05,0.3755302429199219,16384.0,0.023921099986182526,7.054800033569336,662.0
rp,256.0,0.00013880000915378332,1.5005302429199219,65536.0,0.09927690000040457,28.160271644592285,662.0
rp,512.0,0.0021590999967884272,6.000530242919922,262144.0,0.4630394999985583,112.55885791778564,662.0
rp,1024.0,0.00877410001703538,24.000530242919922,1048576.0,1.7855942999885883,450.10574531555176,662.0
rp,4096.0,0.1621482000045944,384.0005302429199,16777216.0,26.46070010002586,7200.386951446533,662.0
