dataset,method,representation,classifier,seed,accuracy,n_features,encode_seconds,fit_seconds,predict_seconds,peak_mib,n_train,n_test,length,n_classes,error
Synthetic0,baseline-1nn-euclidean,raw,knn1,0,1.0,32,0.00027370001771487296,0.02365849999478087,1.4839782000053674,50.30769062042236,12,12,32,2,
Synthetic0,baseline-1nn-euclidean,raw,knn1,1,1.0,32,0.00023360000341199338,0.0012607999960891902,0.008027999982004985,0.01723003387451172,12,12,32,2,
Synthetic0,baseline-1nn-euclidean,raw,knn1,2,1.0,32,0.00023559998953714967,0.0011073000205215067,0.00853999998071231,0.01710796356201172,12,12,32,2,
Synthetic0,baseline-raw-logreg,raw,logreg,0,0.75,32,0.00022659997921437025,0.013551400013966486,0.000885900022694841,0.07351207733154297,12,12,32,2,
Synthetic0,baseline-raw-logreg,raw,logreg,1,0.75,32,0.00023269999655894935,0.01238329999614507,0.0009490000084042549,0.056588172912597656,12,12,32,2,
Synthetic0,baseline-raw-logreg,raw,logreg,2,0.75,32,0.0002350000140722841,0.013364899990847334,0.0008268000092357397,0.05518054962158203,12,12,32,2,
Synthetic0,baseline-rocket-ridge,rocket,ridge,0,1.0,20000,8.98175900001661,0.019999699987238273,0.003999699983978644,19.34908962249756,12,12,32,2,
Synthetic0,baseline-rocket-ridge,rocket,ridge,1,1.0,20000,0.2824183000193443,0.015221699984977022,0.0023819000052753836,9.782864570617676,12,12,32,2,
Synthetic0,baseline-rocket-ridge,rocket,ridge,2,1.0,20000,0.2869584000145551,0.016298800008371472,0.002183000004151836,9.783528327941895,12,12,32,2,
Synthetic0,gasf-features,gaf,logreg,0,1.0,662,0.25771969999186695,0.011615499999606982,0.0009229000133927912,0.6269779205322266,12,12,32,2,
Synthetic0,gasf-features,gaf,logreg,1,1.0,662,0.2499645999923814,0.018122599984053522,0.00123559997882694,0.6213464736938477,12,12,32,2,
Synthetic0,gasf-features,gaf,logreg,2,1.0,662,0.2723223999782931,0.013766400021268055,0.0013116000045556575,0.6222658157348633,12,12,32,2,
Synthetic0,gadf-features,gadf,logreg,0,1.0,662,0.2889656999905128,0.016750099981436506,0.0016956999897956848,0.600193977355957,12,12,32,2,
Synthetic0,gadf-features,gadf,logreg,1,1.0,662,0.25484700000379235,0.01200229997630231,0.001068799989297986,0.5872430801391602,12,12,32,2,
Synthetic0,gadf-features,gadf,logreg,2,1.0,662,0.24753619998227805,0.01485300000058487,0.001252300018677488,0.5881719589233398,12,12,32,2,
Synthetic0,mtf-features,mtf,logreg,0,1.0,662,0.2744805999973323,0.01693199999863282,0.0015002000145614147,0.5883674621582031,12,12,32,2,
Synthetic0,mtf-features,mtf,logreg,1,1.0,662,0.28972450000583194,0.014217999996617436,0.001181300001917407,0.587855339050293,12,12,32,2,
Synthetic0,mtf-features,mtf,logreg,2,1.0,662,0.2589780999987852,0.012329100019996986,0.0008449000015389174,0.5887451171875,12,12,32,2,
Synthetic0,rp-features,rp,logreg,0,1.0,662,0.24474080000072718,0.013106500002322719,0.0009996000153478235,0.5878810882568359,12,12,32,2,
Synthetic0,rp-features,rp,logreg,1,1.0,662,0.25207200000295416,0.013087700004689395,0.0018427000031806529,0.5884771347045898,12,12,32,2,
Synthetic0,rp-features,rp,logreg,2,1.0,662,0.23719509999500588,0.011494599981233478,0.0008511999913025647,0.5886688232421875,12,12,32,2,
Synthetic0,ablation-gaf-intensity-only,gaf,logreg,0,0.75,6,0.004446900013135746,0.008888500015018508,0.0007931999862194061,0.04633331298828125,12,12,32,2,
Synthetic0,ablation-gaf-intensity-only,gaf,logreg,1,0.75,6,0.004053299984661862,0.007395699998596683,0.0007244999869726598,0.04633331298828125,12,12,32,2,
Synthetic0,ablation-gaf-intensity-only,gaf,logreg,2,0.75,6,0.004026399983558804,0.008817800000542775,0.0009120999893639237,0.04633331298828125,12,12,32,2,
Synthetic0,ablation-gaf-texture-only,gaf,logreg,0,1.0,268,0.06068029999732971,0.011757799977203831,0.0007760000007692724,0.19782066345214844,12,12,32,2,
Synthetic0,ablation-gaf-texture-only,gaf,logreg,1,1.0,268,0.06681089999619871,0.014003299991600215,0.0009395999950356781,0.19690418243408203,12,12,32,2,
Synthetic0,ablation-gaf-texture-only,gaf,logreg,2,1.0,268,0.07109690000652336,0.01547240000218153,0.0014534000074490905,0.1953592300415039,12,12,32,2,
Synthetic1,baseline-1nn-euclidean,raw,knn1,0,1.0,32,0.00023780000628903508,0.0011909000168088824,0.010327299998607486,0.02048492431640625,18,18,32,3,
Synthetic1,baseline-1nn-euclidean,raw,knn1,1,1.0,32,0.00031850000959821045,0.0015713000029791147,0.0099134000192862,0.02063274383544922,18,18,32,3,
Synthetic1,baseline-1nn-euclidean,raw,knn1,2,1.0,32,0.0004993000184185803,0.0025628999865148216,0.012250400002812967,0.020712852478027344,18,18,32,3,
Synthetic1,baseline-raw-logreg,raw,logreg,0,0.5,32,0.0004202999989502132,0.021310999989509583,0.0008616999839432538,0.0841665267944336,18,18,32,3,
Synthetic1,baseline-raw-logreg,raw,logreg,1,0.5,32,0.00024009999469853938,0.019566800008760765,0.0008258000016212463,0.0814657211303711,18,18,32,3,
Synthetic1,baseline-raw-logreg,raw,logreg,2,0.5,32,0.00032869999995455146,0.02497540001058951,0.0018180000188294798,0.0818929672241211,18,18,32,3,
Synthetic1,baseline-rocket-ridge,rocket,ridge,0,1.0,20000,0.4263171999773476,0.02316049998626113,0.002731400018092245,14.360405921936035,18,18,32,3,
Synthetic1,baseline-rocket-ridge,rocket,ridge,1,1.0,20000,0.4972033000085503,0.021310400014044717,0.0031898999877739698,14.360339164733887,18,18,32,3,
Synthetic1,baseline-rocket-ridge,rocket,ridge,2,1.0,20000,0.4092419999942649,0.019827900017844513,0.0027914999809581786,14.3599214553833,18,18,32,3,
Synthetic1,gasf-features,gaf,logreg,0,0.6666666666666666,662,0.4023470999964047,0.03358899999875575,0.0014881999813951552,0.9680910110473633,18,18,32,3,
Synthetic1,gasf-features,gaf,logreg,1,0.6666666666666666,662,0.43452300000353716,0.027493700006743893,0.0010213000059593469,0.9675226211547852,18,18,32,3,
Synthetic1,gasf-features,gaf,logreg,2,0.6666666666666666,662,0.38532699999632314,0.0353109999850858,0.0011699000024236739,0.9658975601196289,18,18,32,3,
Synthetic1,gadf-features,gadf,logreg,0,0.7777777777777778,662,0.36759549999260344,0.026638799987267703,0.0014499000099021941,0.9659957885742188,18,18,32,3,
Synthetic1,gadf-features,gadf,logreg,1,0.7777777777777778,662,0.37705530002131127,0.026731399993877858,0.0010147000139113516,0.9671316146850586,18,18,32,3,
Synthetic1,gadf-features,gadf,logreg,2,0.7777777777777778,662,0.3980359999986831,0.03704349999316037,0.0019499000045470893,0.9640922546386719,18,18,32,3,
Synthetic1,mtf-features,mtf,logreg,0,0.8333333333333334,662,0.377086499996949,0.02180790001875721,0.0009656999900471419,0.968780517578125,18,18,32,3,
Synthetic1,mtf-features,mtf,logreg,1,0.8333333333333334,662,0.3835765999974683,0.023191100015537813,0.0009952000109478831,0.9667205810546875,18,18,32,3,
